"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: randomSourceName","Param: theta"
"org.apache.commons.rng.sampling.distribution.GammaSamplersPerformance.runSmallThetaSingleUse_AhrensDieterMarsagliaTsangGammaSampler","avgt",1,20,16437.318802,121.481869,"us/op",WELL_1024_A,0.123
"org.apache.commons.rng.sampling.distribution.GammaSamplersPerformance.runSmallThetaSingleUse_AhrensDieterMarsagliaTsangGammaSampler","avgt",1,20,19041.003221,128.058828,"us/op",WELL_1024_A,0.51
"org.apache.commons.rng.sampling.distribution.GammaSamplersPerformance.runSmallThetaSingleUse_AhrensDieterMarsagliaTsangGammaSampler","avgt",1,20,19300.431562,81.571818,"us/op",WELL_1024_A,0.9876
"org.apache.commons.rng.sampling.distribution.GammaSamplersPerformance.runSmallThetaSingleUse_AhrensDieterMarsagliaTsangGammaSampler","avgt",1,20,17635.398009,99.489665,"us/op",WELL_44497_B,0.123
"org.apache.commons.rng.sampling.distribution.GammaSamplersPerformance.runSmallThetaSingleUse_AhrensDieterMarsagliaTsangGammaSampler","avgt",1,20,20394.487564,230.927302,"us/op",WELL_44497_B,0.51
"org.apache.commons.rng.sampling.distribution.GammaSamplersPerformance.runSmallThetaSingleUse_AhrensDieterMarsagliaTsangGammaSampler","avgt",1,20,20624.060587,147.268085,"us/op",WELL_44497_B,0.9876
"org.apache.commons.rng.sampling.distribution.GammaSamplersPerformance.runSmallThetaSingleUse_SmallThetaAhrensDieterMarsagliaTsangGammaSampler","avgt",1,20,13567.011430,125.929376,"us/op",SPLIT_MIX_64,0.123
"org.apache.commons.rng.sampling.distribution.GammaSamplersPerformance.runSmallThetaSingleUse_SmallThetaAhrensDieterMarsagliaTsangGammaSampler","avgt",1,20,16309.068003,76.768700,"us/op",SPLIT_MIX_64,0.51
"org.apache.commons.rng.sampling.distribution.GammaSamplersPerformance.runSmallThetaSingleUse_SmallThetaAhrensDieterMarsagliaTsangGammaSampler","avgt",1,20,16503.865702,145.267914,"us/op",SPLIT_MIX_64,0.9876
"org.apache.commons.rng.sampling.distribution.GammaSamplersPerformance.runSmallThetaSingleUse_SmallThetaAhrensDieterMarsagliaTsangGammaSampler","avgt",1,20,14844.000444,103.834776,"us/op",KISS,0.123
"org.apache.commons.rng.sampling.distribution.GammaSamplersPerformance.runSmallThetaSingleUse_SmallThetaAhrensDieterMarsagliaTsangGammaSampler","avgt",1,20,17792.962308,80.677606,"us/op",KISS,0.51
"org.apache.commons.rng.sampling.distribution.GammaSamplersPerformance.runSmallThetaSingleUse_SmallThetaAhrensDieterMarsagliaTsangGammaSampler","avgt",1,20,17925.230150,156.785480,"us/op",KISS,0.9876
"org.apache.commons.rng.sampling.distribution.GammaSamplersPerformance.runSmallThetaSingleUse_SmallThetaAhrensDieterMarsagliaTsangGammaSampler","avgt",1,20,16288.012997,105.061247,"us/op",WELL_1024_A,0.123
"org.apache.commons.rng.sampling.distribution.GammaSamplersPerformance.runSmallThetaSingleUse_SmallThetaAhrensDieterMarsagliaTsangGammaSampler","avgt",1,20,18992.919244,223.906503,"us/op",WELL_1024_A,0.51
"org.apache.commons.rng.sampling.distribution.GammaSamplersPerformance.runSmallThetaSingleUse_SmallThetaAhrensDieterMarsagliaTsangGammaSampler","avgt",1,20,19070.684488,109.208790,"us/op",WELL_1024_A,0.9876
"org.apache.commons.rng.sampling.distribution.GammaSamplersPerformance.runSmallThetaSingleUse_SmallThetaAhrensDieterMarsagliaTsangGammaSampler","avgt",1,20,17397.150112,134.922153,"us/op",WELL_44497_B,0.123
"org.apache.commons.rng.sampling.distribution.GammaSamplersPerformance.runSmallThetaSingleUse_SmallThetaAhrensDieterMarsagliaTsangGammaSampler","avgt",1,20,21377.988744,337.544275,"us/op",WELL_44497_B,0.51
"org.apache.commons.rng.sampling.distribution.GammaSamplersPerformance.runSmallThetaSingleUse_SmallThetaAhrensDieterMarsagliaTsangGammaSampler","avgt",1,20,20505.616217,191.698810,"us/op",WELL_44497_B,0.9876
"org.apache.commons.rng.sampling.distribution.GammaSamplersPerformance.runSmallThetaSingleUse_WrapperAhrensDieterMarsagliaTsangGammaSampler","avgt",1,20,13886.081479,132.753864,"us/op",SPLIT_MIX_64,0.123
